,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
7,서울특별시,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),SK에너지,02-992-5561,Y,-,1928,1968,-
8,서울특별시,삼미상사㈜ 북부2셀프주유소,서울 도봉구 도봉로 434,SK에너지,02-902-5544,Y,-,1928,1968,-
9,서울특별시,쌍문으뜸주유소,서울 도봉구 노해로 161 (쌍문동),HD현대오일뱅크,02-998-9704,Y,2020,1929,1989,-
10,서울특별시,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),S-OIL,02-992-0220,Y,2136,1929,1989,-
11,서울특별시,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),S-OIL,02-906-5104,Y,-,1929,1969,-
12,서울특별시,오복주유소,서울 도봉구 방학로 43,S-OIL,02-3494-1500,Y,2400,1995,1995,1800
0,서울특별시,HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),HD현대오일뱅크,02-2216-5151,N,1989,1811,1779,-
1,서울특별시,풍한주유소,서울 동대문구 안암로 168,SK에너지,02-924-5189,N,-,1835,1855,-
2,서울특별시,재정주유소,서울 동대문구 전농로 121,HD현대오일뱅크,070-8256-4617,Y,2020,1899,1860,-
3,서울특별시,재정제2주유소,서울 동대문구 사가정로 90 (전농동),HD현대오일뱅크,02-2249-6682,Y,-,1899,1860,-
4,서울특별시,(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),HD현대오일뱅크,02-2216-7155,Y,2020,1899,1860,-
5,서울특별시,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),GS칼텍스,02-966-5451,Y,2068,1899,1920,-
6,서울특별시,(주)정건에너지 배봉로지점,서울 동대문구 서울시립대로 108,HD현대오일뱅크,02-2242-0556,Y,-,1899,1860,1800
7,서울특별시,열린주유소,서울 동대문구 한천로 263 (휘경동),S-OIL,02-2215-6543,N,-,1899,1929,-
8,서울특별시,동서울고속주유소,서울 동대문구 한천로 414,SK에너지,02-969-1144,Y,2119,1929,1989,-
9,서울특별시,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),SK에너지,02-2242-7115,Y,-,1929,1998,-
10,서울특별시,삼영주유소,서울 동대문구 답십리로 258 (장안동),SK에너지,02-2217-2018,N,-,1947,1997,1700
11,서울특별시,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),SK에너지,02-2244-1972,Y,-,1948,1998,1600
12,서울특별시,오동나무주유소,서울 동대문구  한천로 81,S-OIL,02-2247-5132,N,-,1968,1998,1700
13,서울특별시,홍능주유소,서울 동대문구 홍릉로 87,S-OIL,02-966-9190,N,-,1985,1995,1800
14,서울특별시,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),HD현대오일뱅크,02-2214-9890,Y,-,1998,1998,-
0,서울특별시,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,GS칼텍스,02-826-5145,N,2038,1793,1763,1700
1,서울특별시,HD현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),HD현대오일뱅크,02-815-0724,Y,1938,1801,1809,-
2,서울특별시,HD현대오일뱅크㈜직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),HD현대오일뱅크,02-521-3618,Y,2039,1811,1804,-
3,서울특별시,HD현대오일뱅크㈜직영 동작주유소,서울 동작구 상도로 403 (상도동),HD현대오일뱅크,02-817-9179,N,1954,1811,1809,-
4,서울특별시,창원이엔지주유소,서울 동작구 사당로 59 (상도동),HD현대오일뱅크,02-825-5151,Y,-,1895,1965,-
5,서울특별시,주식회사 새서울글로벌,서울 동작구 시흥대로 616 (신대방동),HD현대오일뱅크,02-832-7926,Y,2037,1897,1947,-
6,서울특별시,매일주유소,서울 동작구 상도로 139 (상도동),S-OIL,02-817-4085,Y,-,1979,1999,1950
7,서울특별시,살피재주유소,서울 동작구 상도로 334,SK에너지,02-817-2559,N,-,2075,2135,-
0,서울특별시,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),SK에너지,02-706-8955,N,2029,1827,1797,-
1,서울특별시,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),SK에너지,02-334-0917,N,-,1898,1898,-
2,서울특별시,마포주유소,서울 마포구 마포대로 186,S-OIL,02-711-5189,Y,2109,1909,1919,-
3,서울특별시,에쓰오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),S-OIL,02-3272-5155,Y,-,1909,1919,-
4,서울특별시,(주)타이거통상 월드컵주유소,서울 마포구 월드컵북로 170 (성산제2동),S-OIL,070-4121-0021,Y,2039,1909,1934,-
5,서울특별시,에스에스오토셀프,서울 마포구 서강로 76 (창전동),HD현대오일뱅크,02-336-5185,Y,2198,1917,1967,-
6,서울특별시,성산대교셀프주유소,서울 마포구 성산로 144,HD현대오일뱅크,02-323-0078,Y,-,1918,1978,1978
7,서울특별시,청원주유소,서울 마포구 월드컵북로 113 (성산동),HD현대오일뱅크,02-325-5533,Y,2048,1918,1978,-
8,서울특별시,(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),SK에너지,02-3273-5151,N,2259,1939,1949,1745
9,서울특별시,용강주유소,서울 마포구 토정로 258,S-OIL,070-7795-4800,N,-,1948,2038,1650
10,서울특별시,마포시엠주유소,서울 마포구 월드컵북로 62,SK에너지,02-338-9447,N,-,1968,1964,-
0,서울특별시,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),SK에너지,02-336-6151,Y,2048,1878,1918,-
1,서울특별시,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,HD현대오일뱅크,070-8879-7864,Y,-,1879,1809,-
2,서울특별시,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),S-OIL,02-304-5522,Y,-,1879,1809,-
3,서울특별시,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,GS칼텍스,02-736-3708,Y,2059,1889,1809,-
4,서울특별시,구도일주유소 두꺼비,서울 서대문구 성산로 312,S-OIL,02-336-0611,Y,2092,1892,1904,-
5,서울특별시,남정주유소,서울 서대문구 모래내로 243 (남가좌동),GS칼텍스,02-305-9828,N,-,1897,1897,-
6,서울특별시,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),SK에너지,070-8707-4568,Y,2135,1898,1918,-
7,서울특별시,문화촌주유소,서울 서대문구 세검정로 87,S-OIL,02-395-4300,Y,2098,1898,1968,-
8,서울특별시,코리아상사 연세주유소,서울 서대문구 연희로 184,HD현대오일뱅크,02-337-8220,Y,2009,1898,1940,-
9,서울특별시,㈜제일주유소,서울 서대문구 통일로 455 (홍제동),HD현대오일뱅크,02-379-0753,Y,-,1899,1939,-
10,서울특별시,행촌제2주유소,서울 서대문구 성산로 490 (대신동),SK에너지,02-365-5189,Y,2135,1918,1969,-
11,서울특별시,삼미상사(주)서부주유소,서울 서대문구 성산로 255,SK에너지,02-334-4919,Y,-,1919,1959,-
12,서울특별시,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),SK에너지,02-338-8045,Y,2229,1919,1969,-
13,서울특별시,광호주유소,서울 서대문구 연희로 266 (홍은동),SK에너지,02-395-7236,N,-,1949,1999,-
0,서울특별시,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),GS칼텍스,02-592-4915,N,2029,1794,1814,-
1,서울특별시,HD현대오일뱅크㈜직영 양재현대주유소,서울 서초구 마방로 6,HD현대오일뱅크,02-579-8429,N,1964,1797,1761,1850
2,서울특별시,에너지 플러스 허브 내곡,서울 서초구 헌릉로 210,GS칼텍스,02-3461-5145,Y,2028,1798,1809,-
3,서울특별시,HD현대오일뱅크㈜직영 팔레스주유소,서울 서초구 사평대로 136,HD현대오일뱅크,02-720-0020,N,1980,1807,1806,-
4,서울특별시,HD현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),HD현대오일뱅크,02-3481-2513,N,1995,1822,1821,-
5,서울특별시,HD현대오일뱅크㈜직영 서초제일주유소,서울 서초구 사임당로 116,HD현대오일뱅크,02-587-6080,N,2066,1826,1803,-
6,서울특별시,㈜에이치앤디이 만남의광장주유소,서울 서초구 양재대로12길 73-71,알뜰(ex),02-573-7430,Y,-,1841,1842,-
7,서울특별시,에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),GS칼텍스,02-536-5145,Y,2109,1844,1886,-
8,서울특별시,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),GS칼텍스,02-542-1517,Y,2170,1860,1860,-
9,서울특별시,신반포주유소,서울 서초구 사평대로 94 (반포동),SK에너지,02-533-5151,Y,2079,1889,1919,-
10,서울특별시,서초우면산주유소,서울 서초구 양재대로2길 100-30,S-OIL,02-577-5151,Y,2075,1894,1944,-
11,서울특별시,㈜방배동주유소,서울 서초구 효령로 29,S-OIL,02-581-5179,Y,1997,1895,1937,-
12,서울특별시,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),SK에너지,02-587-0895,Y,-,1895,1905,-
13,서울특별시,말죽거리주유소,서울 서초구 남부순환로 2650,GS칼텍스,02-579-9933,N,2076,1896,1926,-
14,서울특별시,씨앤에스유통㈜ 내곡드림주유소,서울 서초구 헌릉로 177 (내곡동),S-OIL,02-2058-3224,Y,2028,1898,1898,2200
15,서울특별시,방배주유소,서울 서초구 동작대로 182,HD현대오일뱅크,02-534-0051,N,2119,1899,2059,1700
16,서울특별시,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),SK에너지,02-571-8000,Y,2107,1907,1939,-
17,서울특별시,오토테크주유소,서울특별시 서초구  효령로 356,S-OIL,02-585-5189,Y,2120,1920,1950,-
18,서울특별시,대성산업(주)직영 강남주유소,서울 서초구 반포대로 284 (반포동),GS칼텍스,02-594-5987,Y,2015,1930,1967,-
19,서울특별시,반포그린주유소,서울 서초구 서초중앙로 239,GS칼텍스,02-532-5147,Y,2095,1935,1975,-
20,서울특별시,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),GS칼텍스,02-523-5551,Y,2239,1935,1975,-
21,서울특별시,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),GS칼텍스,02-582-5198,Y,2239,1935,1975,-
22,서울특별시,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,GS칼텍스,02-3471-5151,N,2155,1939,1985,1800
23,서울특별시,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),SK에너지,02-572-0567,Y,2097,1947,1997,-
24,서울특별시,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),GS칼텍스,02-535-3001,N,2039,1959,1987,1750
25,서울특별시,극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),S-OIL,02-6080-0516,Y,2205,1985,2025,-
26,서울특별시,양재최고주유소,서울 서초구 매헌로 72 (양재동),S-OIL,02-2057-5189,N,-,1994,1994,-
27,서울특별시,양재주유소,서울 서초구 바우뫼로 178,SK에너지,02-577-1621,N,2195,1999,1951,-
28,서울특별시,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),SK에너지,02-599-3657,N,2338,2198,2248,-
29,서울특별시,(주)선문에너지 중앙주유소,서울 서초구  바우뫼로 219 (양재1동),HD현대오일뱅크,02-575-5110,N,2598,2368,2198,1830
0,서울특별시,SK에너지(주) 성수주유소,서울 성동구 뚝섬로 352,SK에너지,02-467-7240,N,1929,1779,1729,-
1,서울특별시,HD현대오일뱅크㈜직영 효진주유소,서울 성동구 동일로 129,HD현대오일뱅크,02-464-7252,N,2059,1797,1809,-
2,서울특별시,HD현대오일뱅크㈜직영 성동셀프주유소,서울 성동구 마장로 311 (마장동),HD현대오일뱅크,02-2299-7333,Y,2035,1810,1789,-
3,서울특별시,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,GS칼텍스,02-463-6919,Y,2065,1815,1835,2006
4,서울특별시,SK에너지(주) 군자동주유소,서울특별시 성동구  천호대로 446 (용답동),SK에너지,02-2244-4945,N,2009,1819,1773,-
5,서울특별시,정호주유소,서울 성동구 고산자로 307 (마장동),자가상표,02-2297-9442,N,-,1898,1948,-
6,서울특별시,(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),S-OIL,02-3390-4338,Y,-,1899,1860,-
7,서울특별시,㈜성동에너지,서울 성동구 천호대로 392,HD현대오일뱅크,02-3394-7003,Y,2089,1899,1860,-
8,서울특별시,아이콘주유소,서울 성동구 고산자로 273 (도선동),S-OIL,02-2291-5189,Y,2098,1928,1988,-
9,서울특별시,KLP제2주유소,서울 성동구 동일로 249 (송정동),HD현대오일뱅크,02-465-5182,Y,-,1965,1995,-
10,서울특별시,세원주유소,서울 성동구 광나루로 184,HD현대오일뱅크,02-462-5665,N,2390,1965,1998,-
11,서울특별시,동일주유소,서울 성동구 광나루로 254 (성수동2가),GS칼텍스,02-461-7100,N,2263,1968,1998,-
12,서울특별시,KH에너지㈜직영 성수만세주유소,서울 성동구 왕십리로 109,SK에너지,02-499-8223,Y,2089,2019,2049,-
13,서울특별시,금호주유소,서울 성동구 금호로 39 (금호동4가),GS칼텍스,02-2297-0066,N,2394,2130,2085,1890
14,서울특별시,청계로주유소,서울 성동구 청계천로 454 (하왕십리동),SK에너지,02-2294-4225,N,2345,2145,2095,1695
15,서울특별시,(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),GS칼텍스,02-2282-5151,N,2521,2278,2078,-
0,서울특별시,HD현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),HD현대오일뱅크,02-911-5189,Y,1968,1787,1810,-
1,서울특별시,HD현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),HD현대오일뱅크,02-912-5151,Y,1965,1797,1810,-
2,서울특별시,HD현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96,HD현대오일뱅크,02-941-5189,N,2075,1799,1777,-
3,서울특별시,㈜삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),GS칼텍스,02-914-6556,Y,2020,1829,1839,-
4,서울특별시,지에스칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),GS칼텍스,02-921-7785,Y,2088,1838,1808,-
5,서울특별시,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,GS칼텍스,02-942-5152,N,-,1879,1829,1526
6,서울특별시,중앙에너비스 종암지점,서울 성북구 종암로 58,SK에너지,070-8707-4565,Y,-,1898,1898,-
7,서울특별시,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),GS칼텍스,02-953-1448,Y,-,1899,1860,1680
8,서울특별시,이케이에너지(주) 강산제2주유소,서울 성북구 보국문로 52,HD현대오일뱅크,02-942-1448,Y,2020,1899,1860,-
9,서울특별시,(주)성북주유소,서울 성북구 보문로 142,HD현대오일뱅크,02-928-4900,Y,-,1899,1920,-
10,서울특별시,신방주유소,서울 성북구 안암로 111 (안암동5가),S-OIL,02-922-5151,N,-,1899,1899,-
11,서울특별시,장삼 쌍둥이 주유소,서울 성북구 한천로 612 (장위동),HD현대오일뱅크,02-909-0314,Y,-,1924,1984,-
12,서울특별시,㈜원천주유소,서울 성북구 돌곶이로 142,GS칼텍스,070-4063-1057,Y,-,1924,1984,-
13,서울특별시,장위주유소,서울 성북구 화랑로 110 (하월곡동),S-OIL,02-6498-5189,Y,-,1924,1984,-
14,서울특별시,신동방주유소,서울 성북구 월계로 84,S-OIL,02-918-5151,Y,2120,1928,1968,-
15,서울특별시,삼미상사㈜ 드림랜드주유소,서울 성북구 월계로 128 (장위동),SK에너지,02-916-9906,Y,2120,1928,1968,-
16,서울특별시,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,GS칼텍스,02-942-5150,Y,2215,1939,1999,-
17,서울특별시,우리주유소,서울 성북구 화랑로 292,SK에너지,02-969-5185,Y,-,1954,1999,-
18,서울특별시,(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,S-OIL,02-963-0051,Y,2183,1983,1999,1650
19,서울특별시,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),S-OIL,02-923-8484,Y,2185,1993,1998,-
20,서울특별시,삼선주유소,서울 성북구 창경궁로 324,S-OIL,02-766-5105,Y,2348,2098,2275,-
21,서울특별시,아이에스피시그넷㈜ 서울북부고속주유소,서울 성북구 삼양로 78,SK에너지,02-980-1311,N,-,2139,2289,-
0,서울특별시,HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),HD현대오일뱅크,02-2216-5151,N,1989,1811,1779,-
1,서울특별시,풍한주유소,서울 동대문구 안암로 168,SK에너지,02-924-5189,N,-,1835,1855,-
2,서울특별시,(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),HD현대오일뱅크,02-2216-7155,Y,2020,1899,1860,-
3,서울특별시,재정제2주유소,서울 동대문구 사가정로 90 (전농동),HD현대오일뱅크,02-2249-6682,Y,-,1899,1860,-
4,서울특별시,재정주유소,서울 동대문구 전농로 121,HD현대오일뱅크,070-8256-4617,Y,2020,1899,1860,-
5,서울특별시,열린주유소,서울 동대문구 한천로 263 (휘경동),S-OIL,02-2215-6543,N,-,1899,1929,-
6,서울특별시,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),GS칼텍스,02-966-5451,Y,2068,1899,1920,-
7,서울특별시,(주)정건에너지 배봉로지점,서울 동대문구 서울시립대로 108,HD현대오일뱅크,02-2242-0556,Y,-,1899,1860,1800
8,서울특별시,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),SK에너지,02-2242-7115,Y,-,1929,1998,-
9,서울특별시,동서울고속주유소,서울 동대문구 한천로 414,SK에너지,02-969-1144,Y,2119,1929,1989,-
10,서울특별시,삼영주유소,서울 동대문구 답십리로 258 (장안동),SK에너지,02-2217-2018,N,-,1947,1997,1700
11,서울특별시,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),SK에너지,02-2244-1972,Y,-,1948,1998,1600
12,서울특별시,오동나무주유소,서울 동대문구  한천로 81,S-OIL,02-2247-5132,N,-,1968,1998,1700
13,서울특별시,홍능주유소,서울 동대문구 홍릉로 87,S-OIL,02-966-9190,N,-,1985,1995,1800
14,서울특별시,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),HD현대오일뱅크,02-2214-9890,Y,-,1998,1998,-
0,서울특별시,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),GS칼텍스,02-409-5185,Y,2028,1808,1793,-
1,서울특별시,㈜삼표에너지 우리주유소,서울 송파구 동남로 153,GS칼텍스,02-3401-1588,Y,1988,1808,1808,1700
2,서울특별시,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,GS칼텍스,02-409-5145,Y,2008,1808,1808,-
3,서울특별시,HD현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397,HD현대오일뱅크,02-417-7111,Y,1968,1810,1794,1850
4,서울특별시,HD현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),HD현대오일뱅크,02-448-9804,Y,1954,1816,1794,-
5,서울특별시,㈜삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),GS칼텍스,02-416-1911,Y,1990,1848,1878,-
6,서울특별시,㈜삼표에너지 훼미리주유소,서울 송파구 중대로 58,GS칼텍스,02-448-9252,Y,1988,1848,1878,1700
7,서울특별시,삼화주유소,서울 송파구 백제고분로 125,GS칼텍스,02-2203-2280,Y,2023,1853,1906,-
8,서울특별시,서울이엔지㈜ 이월주유소,서울 송파구 송이로 28,GS칼텍스,02-425-5125,Y,1955,1855,1774,-
9,서울특별시,상아주유소,서울 송파구 거마로 82,S-OIL,02-409-8251,Y,-,1863,1856,1700
10,서울특별시,㈜버드에너지 위례제일,서울 송파구 위례서로 260,S-OIL,02-408-9951,Y,-,1863,1856,-
11,서울특별시,방이주유소,서울 송파구 위례성대로12길 38 (방이동),SK에너지,02-424-3051,N,-,1883,1924,-
12,서울특별시,백제고분로주유소,서울 송파구 오금로 143 (방이동),SK에너지,02-2202-4050,Y,2068,1888,1898,-
13,서울특별시,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),S-OIL,02-414-5010,Y,2032,1892,1949,-
14,서울특별시,㈜지에스이앤알 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),HD현대오일뱅크,02-424-2900,Y,-,1894,1914,-
15,서울특별시,(주)퍼스트오일서울주유소,서울 송파구 문정로 153,S-OIL,02-407-0708,N,2050,1900,1950,1700
16,서울특별시,(주)정직한주유소,서울 송파구 오금로 455 (거여동),HD현대오일뱅크,02-406-4634,Y,2052,1902,1952,-
17,서울특별시,(주)유진주유소,서울 송파구 동남로 325 (오금동),SK에너지,02-406-3956,N,-,1913,1925,-
18,서울특별시,남성대주유소,서울 송파구 송파대로 52 (장지동),SK에너지,02-409-2211,Y,-,1914,1964,1900
19,서울특별시,제트라인DM주유소,서울 송파구 중대로 183 (가락동),HD현대오일뱅크,02-430-5151,N,-,1915,1959,-
20,서울특별시,위례드림주유소,서울시 송파구  위례중앙로 10,S-OIL,02-404-5189,Y,2076,1915,1976,-
21,서울특별시,완불주유소,서울 송파구 송파대로 3,SK에너지,02-3402-2900,Y,2082,1916,1972,-
22,서울특별시,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),SK에너지,02-422-2834,Y,2093,1953,1993,-
23,서울특별시,㈜스마일에너지 올림픽공원주유소,서울 송파구 올림픽로 499,S-OIL,02-477-1906,Y,2095,1955,1995,-
24,서울특별시,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,GS칼텍스,02-421-0051,N,2118,1957,1977,1800
25,서울특별시,양운개발 마천로주유소,서울 송파구 마천로 230,SK에너지,02-431-1991,N,-,1962,1998,-
26,서울특별시,(유)호림플러스홀딩스 남성주유소,서울 송파구 백제고분로 474,HD현대오일뱅크,02-423-5128,Y,-,2079,1999,-
0,서울특별시,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),SK에너지,02-2693-4994,Y,-,1810,1767,1705
1,서울특별시,SK에너지㈜ 신평,서울 양천구 목동남로 62,SK에너지,02-2654-5145,N,1893,1813,1826,1566
2,서울특별시,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),HD현대오일뱅크,02-2648-4204,Y,1976,1816,1808,-
3,서울특별시,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,HD현대오일뱅크,02-2644-5185,Y,1995,1817,1810,-
4,서울특별시,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,HD현대오일뱅크,02-2642-5188,Y,2049,1856,1814,-
5,서울특별시,이케이에너지(주) 무산주유소,서울 양천구 신정로 236,HD현대오일뱅크,02-2690-7775,Y,1999,1890,1855,-
6,서울특별시,㈜자연에너지 남부주유소,서울 양천구 남부순환로 553,HD현대오일뱅크,02-2604-4760,Y,-,1890,1855,-
7,서울특별시,플라트(주)서호주유소,서울 양천구 남부순환로 317,GS칼텍스,02-2602-5172,Y,2029,1895,1859,-
8,서울특별시,신월주유소,서울 양천구 신월로 193,GS칼텍스,02-2602-5182,Y,-,1895,1987,1700
9,서울특별시,㈜삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),GS칼텍스,02-2654-5153,Y,2065,1895,1895,-
